trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
2222,17:23:00,17:23:00,39,6,,0,0,1
2222,17:27:00,17:27:00,104,7,,0,0,1
2222,17:29:00,17:29:00,142,8,,0,0,1
2222,17:35:00,17:35:00,16,9,,0,0,1
2223,18:34:00,18:34:00,62,1,,0,0,1
2223,18:36:00,18:36:00,61,2,,0,0,1
2223,18:40:00,18:40:00,37,3,,0,0,1
2223,18:43:00,18:43:00,103,4,,0,0,1
2223,18:49:00,18:49:00,105,5,,0,0,1
2223,18:52:00,18:52:00,39,6,,0,0,1
2223,18:56:00,18:56:00,104,7,,0,0,1
2223,18:58:00,18:58:00,142,8,,0,0,1
2223,19:04:00,19:04:00,16,9,,0,0,1
2224,09:53:00,09:53:00,16,1,,0,1,1
2224,09:59:00,09:59:00,149,2,,1,0,1
2224,10:03:00,10:03:00,43,3,,1,0,1
2224,10:06:00,10:06:00,150,4,,1,0,1
2224,10:12:00,10:12:00,151,5,,1,0,1
2224,10:15:00,10:15:00,45,6,,1,0,1
2224,10:19:00,10:19:00,46,7,,1,0,1
2224,10:21:00,10:21:00,62,8,,0,0,1
2225,15:25:00,15:25:00,16,1,,0,1,1
2225,15:31:00,15:31:00,149,2,,1,0,1
2225,15:35:00,15:35:00,43,3,,1,0,1
2225,15:38:00,15:38:00,150,4,,1,0,1
2225,15:44:00,15:44:00,151,5,,1,0,1
2225,15:47:00,15:47:00,45,6,,1,0,1
2225,15:51:00,15:51:00,46,7,,1,0,1
2225,15:53:00,15:53:00,62,8,,0,0,1
2226,16:09:00,16:09:00,16,1,,0,1,1
2226,16:15:00,16:15:00,149,2,,1,0,1
2226,16:19:00,16:19:00,43,3,,1,0,1
2226,16:22:00,16:22:00,150,4,,1,0,1
2226,16:28:00,16:28:00,151,5,,1,0,1
2226,16:31:00,16:31:00,45,6,,1,0,1
2226,16:35:00,16:35:00,46,7,,1,0,1
2226,16:37:00,16:37:00,62,8,,0,0,1
2227,16:53:00,16:53:00,16,1,,0,1,1
2227,16:59:00,16:59:00,149,2,,1,0,1
2227,17:03:00,17:03:00,43,3,,1,0,1
2227,17:06:00,17:06:00,150,4,,1,0,1
2227,17:12:00,17:12:00,151,5,,1,0,1
2227,17:15:00,17:15:00,45,6,,1,0,1
2227,17:19:00,17:19:00,46,7,,1,0,1
2227,17:21:00,17:21:00,62,8,,0,0,1
2228,17:37:00,17:37:00,16,1,,0,1,1
2228,17:43:00,17:43:00,149,2,,1,0,1
2228,17:47:00,17:47:00,43,3,,1,0,1
2228,17:50:00,17:50:00,150,4,,1,0,1
2228,17:56:00,17:56:00,151,5,,1,0,1
2228,17:59:00,17:59:00,45,6,,1,0,1
2228,18:03:00,18:03:00,46,7,,1,0,1
2228,18:05:00,18:05:00,62,8,,0,0,1
2229,19:06:00,19:06:00,16,1,,0,1,1
2229,19:12:00,19:12:00,149,2,,1,0,1
2229,19:16:00,19:16:00,43,3,,1,0,1
2229,19:19:00,19:19:00,150,4,,1,0,1
2229,19:25:00,19:25:00,151,5,,1,0,1
2229,19:28:00,19:28:00,45,6,,1,0,1
2229,19:32:00,19:32:00,46,7,,1,0,1
2229,19:34:00,19:34:00,62,8,,0,0,1
2230,09:36:00,09:36:00,48,1,,0,0,1
2230,09:38:00,09:38:00,49,2,,0,0,1
2230,09:39:00,09:39:00,50,3,,0,0,1
2230,09:41:00,09:41:00,51,4,,0,0,1
2230,09:43:00,09:43:00,52,5,,0,0,1
2230,09:45:00,09:45:00,145,6,,0,0,1
2230,09:51:00,09:51:00,16,7,,0,0,1
2231,15:08:00,15:08:00,48,1,,0,0,1
2231,15:10:00,15:10:00,49,2,,0,0,1
2231,15:11:00,15:11:00,50,3,,0,0,1
2231,15:13:00,15:13:00,51,4,,0,0,1
2231,15:15:00,15:15:00,52,5,,0,0,1
2231,15:17:00,15:17:00,145,6,,0,0,1
2231,15:23:00,15:23:00,16,7,,0,0,1
2232,15:52:00,15:52:00,48,1,,0,0,1
2232,15:54:00,15:54:00,49,2,,0,0,1
2232,15:55:00,15:55:00,50,3,,0,0,1
2232,15:57:00,15:57:00,51,4,,0,0,1
2232,15:59:00,15:59:00,52,5,,0,0,1
2232,16:01:00,16:01:00,145,6,,0,0,1
2232,16:07:00,16:07:00,16,7,,0,0,1
2233,16:36:00,16:36:00,48,1,,0,0,1
2233,16:38:00,16:38:00,49,2,,0,0,1
2233,16:39:00,16:39:00,50,3,,0,0,1
2233,16:41:00,16:41:00,51,4,,0,0,1
2233,16:43:00,16:43:00,52,5,,0,0,1
2233,16:45:00,16:45:00,145,6,,0,0,1
2233,16:51:00,16:51:00,16,7,,0,0,1
2234,17:20:00,17:20:00,48,1,,0,0,1
2234,17:22:00,17:22:00,49,2,,0,0,1
2234,17:23:00,17:23:00,50,3,,0,0,1
2234,17:25:00,17:25:00,51,4,,0,0,1
2234,17:27:00,17:27:00,52,5,,0,0,1
2234,17:29:00,17:29:00,145,6,,0,0,1
2234,17:35:00,17:35:00,16,7,,0,0,1
2235,18:49:00,18:49:00,48,1,,0,0,1
2235,18:51:00,18:51:00,49,2,,0,0,1
2235,18:52:00,18:52:00,50,3,,0,0,1
2235,18:54:00,18:54:00,51,4,,0,0,1
2235,18:56:00,18:56:00,52,5,,0,0,1
2235,18:58:00,18:58:00,145,6,,0,0,1
2235,19:04:00,19:04:00,16,7,,0,0,1
2236,09:53:00,09:53:00,16,1,,0,0,1
2236,09:59:00,09:59:00,55,2,,1,0,1
2236,10:01:00,10:01:00,56,3,,1,0,1
2236,10:03:00,10:03:00,57,4,,1,0,1
2236,10:05:00,10:05:00,58,5,,1,0,1
2236,10:06:00,10:06:00,49,6,,1,0,1
2236,10:08:00,10:08:00,48,7,,0,0,1
2237,15:25:00,15:25:00,16,1,,0,0,1
2237,15:31:00,15:31:00,55,2,,1,0,1
2237,15:33:00,15:33:00,56,3,,1,0,1
2237,15:35:00,15:35:00,57,4,,1,0,1
2237,15:37:00,15:37:00,58,5,,1,0,1
2237,15:38:00,15:38:00,49,6,,1,0,1
2237,15:40:00,15:40:00,48,7,,0,0,1
2238,16:09:00,16:09:00,16,1,,0,0,1
2238,16:15:00,16:15:00,55,2,,1,0,1
2238,16:17:00,16:17:00,56,3,,1,0,1
2238,16:19:00,16:19:00,57,4,,1,0,1
2238,16:21:00,16:21:00,58,5,,1,0,1
2238,16:22:00,16:22:00,49,6,,1,0,1
2238,16:24:00,16:24:00,48,7,,0,0,1
2239,16:53:00,16:53:00,16,1,,0,0,1
2239,16:59:00,16:59:00,55,2,,1,0,1
2239,17:01:00,17:01:00,56,3,,1,0,1
2239,17:03:00,17:03:00,57,4,,1,0,1
2239,17:05:00,17:05:00,58,5,,1,0,1
2239,17:06:00,17:06:00,49,6,,1,0,1
2239,17:08:00,17:08:00,48,7,,0,0,1
2240,17:37:00,17:37:00,16,1,,0,0,1
2240,17:43:00,17:43:00,55,2,,1,0,1
2240,17:45:00,17:45:00,56,3,,1,0,1
2240,17:47:00,17:47:00,57,4,,1,0,1
2240,17:49:00,17:49:00,58,5,,1,0,1
2240,17:50:00,17:50:00,49,6,,1,0,1
2240,17:52:00,17:52:00,48,7,,0,0,1
2241,19:06:00,19:06:00,16,1,,0,0,1
2241,19:12:00,19:12:00,55,2,,1,0,1
2241,19:14:00,19:14:00,56,3,,1,0,1
2241,19:16:00,19:16:00,57,4,,1,0,1
2241,19:18:00,19:18:00,58,5,,1,0,1
2241,19:19:00,19:19:00,49,6,,1,0,1
2241,19:21:00,19:21:00,48,7,,0,0,1
2356,06:33:00,06:33:00,17,1,,0,0,1
2356,06:45:00,06:45:00,115,2,,0,0,1
2356,06:54:00,06:54:00,87,3,,0,0,1
2356,07:01:00,07:01:00,11,4,,0,0,1
2356,07:09:00,07:09:00,24,5,,0,0,1
2356,07:13:00,07:13:00,111,6,,0,0,1
2357,10:18:00,10:18:00,17,1,,0,0,1
2357,10:30:00,10:30:00,115,2,,0,0,1
2357,10:41:00,10:41:00,87,3,,0,0,1
2357,10:48:00,10:48:00,11,4,,0,0,1
2357,10:56:00,10:56:00,24,5,,0,0,1
2357,11:00:00,11:00:00,111,6,,0,0,1
2358,11:06:00,11:06:00,17,1,,0,0,1
2358,11:18:00,11:18:00,115,2,,0,0,1
2358,11:29:00,11:29:00,87,3,,0,0,1
2358,11:36:00,11:36:00,11,4,,0,0,1
2358,11:44:00,11:44:00,24,5,,0,0,1
2358,11:48:00,11:48:00,111,6,,0,0,1
2359,11:54:00,11:54:00,17,1,,0,0,1
2359,12:06:00,12:06:00,115,2,,0,0,1
2359,12:17:00,12:17:00,87,3,,0,0,1
2359,12:24:00,12:24:00,11,4,,0,0,1
2359,12:32:00,12:32:00,24,5,,0,0,1
2359,12:36:00,12:36:00,111,6,,0,0,1
2360,12:42:00,12:42:00,17,1,,0,0,1
2360,12:54:00,12:54:00,115,2,,0,0,1
